transaction_id,x500_name,client_id,display_name,app_lin_id,command,event_role,event_date_time
E0F21EA62AC15B3F7487CC17BF9493490B1BDB4A72E1117D22BA7B375B4C5ED4,"OU=Springwell Co. Ltd., O=Contour Pte. Ltd., L=Singapore, C=SG",709541582,Springwell Co. Ltd,ed763c5d-aca3-471b-bfe2-d8c8769abad4,DemandPresentation.Submit,BENEFICIARY,2021-11-03T03:26:23.296Z
96955566ABD60C156B8D02DB4728D596A17C56950B05C8FC6FEE80B6060D8258,"OU=Prosperity Bank, O=Contour Pte. Ltd., L=Singapore, C=SG",547922660,Prosperity Bank,ed763c5d-aca3-471b-bfe2-d8c8769abad4,DemandPresentation.Forward,ADVISING_BANK,2021-11-03T03:27:07.021Z
7AA93B689A8E8C1B9EBE7F1658D0891131F55CC76FD0860F7DD418DFD83EC92D,"OU=Voyage Bank, O=Contour Pte. Ltd., L=Singapore, C=SG",428103308,Voyage Bank,ed763c5d-aca3-471b-bfe2-d8c8769abad4,DemandPresentation.Accept,ISSUER,2021-11-03T03:27:55.001Z
4C7622BF871C67CF03E5FE49DF00F73C21A984E3F7C042B5351614AE8B5D729B,"OU=One Duty Corporation, O=Contour Pte. Ltd., L=Singapore, C=SG",423861900,One Duty Corporation,eaddd3df-a9b1-423f-b0ae-04fdba272976,LOCApplication.UpdateBypass,APPLICANT,2021-11-09T11:30:29.717Z
5518E3C0877036ABD10E3E615B10E42C0D2B7AA2F05526F99367021348AB386F,"OU=One Duty Corporation, O=Contour Pte. Ltd., L=Singapore, C=SG",423861900,One Duty Corporation,8538fdf8-50d7-496e-971f-d78aff20eaa9,LOCApplication.UpdateBypass,APPLICANT,2021-11-09T12:28:53.821Z
F6EAB8DEA85E61D9319A13271D058FC2FD4E72BAF7F2B617E15343F8F8AD0A5D,"OU=One Duty Corporation, O=Contour Pte. Ltd., L=Singapore, C=SG",423861900,One Duty Corporation,d9582a81-0bac-47e4-a6ff-d249e1ee7f30,LOCApplication.UpdateBypass,APPLICANT,2021-11-11T05:21:09.889Z
1E399460424E545B4D66ABD146E796A662DFEAD99ACD725C0A1229F4C5922016,"OU=Voyage Bank, O=Contour Pte. Ltd., L=Singapore, C=SG",428103308,Voyage Bank,d9582a81-0bac-47e4-a6ff-d249e1ee7f30,LOC.Issue,ISSUER,2021-11-11T05:22:11.334Z
5A0BD4A52D7896DB3E8147AB17C4223F017AA11E4547484A1940E19D2F2CA79D,"OU=Springwell Co. Ltd., O=Contour Pte. Ltd., L=Singapore, C=SG",709541582,Springwell Co. Ltd,d9582a81-0bac-47e4-a6ff-d249e1ee7f30,DemandPresentation.Submit,BENEFICIARY,2021-11-11T05:23:33.347Z
3366E962D28E0C6166981B8ED5420A475982FF44229C984D2AD0193A70694D8D,"OU=Prosperity Bank, O=Contour Pte. Ltd., L=Singapore, C=SG",547922660,Prosperity Bank,d9582a81-0bac-47e4-a6ff-d249e1ee7f30,DemandPresentation.Forward,ADVISING_BANK,2021-11-11T05:24:19.609Z
A89F5C57FFAD0ABE87B1A4D41DDF88A7109548B3BE0E2E2D35CEE09315E9EF95,"OU=Voyage Bank, O=Contour Pte. Ltd., L=Singapore, C=SG",428103308,Voyage Bank,d9582a81-0bac-47e4-a6ff-d249e1ee7f30,DemandPresentation.Accept,ISSUER,2021-11-11T05:24:42.389Z
2C585E2ECE93A2CD3040B905B16AA460282DEA4305D93CC3B8A7849136E2F5A3,"OU=One Duty Corporation, O=Contour Pte. Ltd., L=Singapore, C=SG",423861900,One Duty Corporation,f76908f6-c4e2-429c-894f-b3f584029871,LOCApplication.UpdateBypass,APPLICANT,2021-11-23T03:56:09.400Z
